Date,AMZN,GOOG,AAPL
2016-04-01,598.5,749.909973,106.850548
2016-03-31,593.640015,744.950012,105.879097
2016-03-30,598.690002,750.530029,106.432831
2016-03-29,593.859985,744.77002,104.606491
2016-03-28,579.869995,733.530029,102.187561
2016-03-24,582.950012,735.299988,102.653854
2016-03-23,569.630005,738.059998,103.100731
2016-03-22,560.47998,740.75,103.673882
2016-03-21,553.97998,742.090027,102.887009
2016-03-18,552.080017,737.599976,102.896729
2016-03-17,559.440002,737.780029,102.780144
2016-03-16,574.27002,736.090027,102.945305
2016-03-15,577.02002,728.330017,101.594978
2016-03-14,573.369995,730.48999,99.593773
2016-03-11,569.609985,726.820007,99.341187
2016-03-10,558.929993,712.820007,98.282295
2016-03-09,559.469971,705.23999,98.233734
2016-03-08,560.26001,693.969971,98.146294
2016-03-07,562.799988,695.159973,98.962318
2016-03-04,575.140015,710.890015,100.069786
2016-03-03,577.48999,712.419983,98.602882
2016-03-02,580.210022,718.849976,97.874298
2016-03-01,579.039978,718.809998,97.660561
2016-02-29,552.52002,697.77002,93.930183
2016-02-26,555.22998,705.070007,94.143906
2016-02-25,555.150024,705.75,93.998184
2016-02-24,554.039978,699.559998,93.357018
2016-02-23,552.940002,695.849976,91.987267
2016-02-22,559.5,706.460022,94.114754
2016-02-19,534.900024,700.909973,93.298737
2016-02-18,525,697.349976,93.512459
2016-02-17,534.099976,708.400024,95.319359
2016-02-16,521.099976,691,93.881607
2016-02-12,507.079987,682.400024,91.307251
2016-02-11,503.820007,683.109985,91.025528
2016-02-10,490.480011,684.119995,91.579254
2016-02-09,482.070007,678.109985,92.278694
2016-02-08,488.100006,682.73999,92.298134
2016-02-05,502.130005,683.570007,91.336388
2016-02-04,536.26001,708.01001,93.842743
2016-02-03,531.070007,726.950012,93.094734
2016-02-02,552.099976,764.650024,91.28791
2016-02-01,574.809998,752,93.172028
2016-01-29,587,742.950012,94.05127
2016-01-28,635.349976,730.960022,90.911087
2016-01-27,583.349976,699.98999,90.263725
2016-01-26,601.25,713.039978,96.61174
2016-01-25,596.530029,711.669983,96.080322
2016-01-22,596.380005,725.25,97.993423
2016-01-21,575.02002,706.590027,93.046417
2016-01-20,571.77002,698.450012,93.519867
2016-01-19,574.47998,701.789978,93.394257
2016-01-15,570.179993,694.450012,93.848373
2016-01-14,593,714.719971,96.157608
2016-01-13,581.809998,700.559998,94.099594
2016-01-12,617.890015,726.070007,96.582756
2016-01-11,617.73999,716.030029,95.201073
2016-01-08,607.049988,714.469971,93.68412
2016-01-07,607.940002,726.390015,93.191338
2016-01-06,632.650024,743.619995,97.29776
2016-01-05,633.789978,742.580017,99.239845
2016-01-04,636.98999,741.840027,101.790649
2015-12-31,675.890015,758.880005,101.703697
2015-12-30,689.070007,771,103.694107
2015-12-29,693.969971,776.599976,105.066116
2015-12-28,675.200012,762.51001,103.210999
2015-12-24,662.789978,748.400024,104.380112
2015-12-23,663.700012,750.309998,104.940506
2015-12-22,663.150024,750,103.607155
2015-12-21,664.51001,747.77002,103.703766
2015-12-18,664.140015,739.309998,102.44767
2015-12-17,670.650024,749.429993,105.298019
2015-12-16,675.77002,758.090027,107.57827
2015-12-15,658.640015,743.400024,106.756989
2015-12-14,657.909973,747.77002,108.679771
2015-12-11,640.150024,738.869995,109.356125
2015-12-10,662.320007,749.460022,112.245087
2015-12-09,664.789978,751.609985,111.713676
2015-12-08,677.330017,762.369995,114.235489
2015-12-07,669.830017,763.25,114.283798
2015-12-04,672.640015,766.809998,115.008461
2015-12-03,666.25,752.539978,111.307861
2015-12-02,676.01001,762.380005,112.351372
2015-12-01,679.059998,767.039978,113.375557
2015-11-30,664.799988,742.599976,114.303123
2015-11-27,673.26001,750.26001,113.829681
2015-11-25,675.340027,748.150024,114.042252
2015-11-24,671.150024,748.280029,114.863525
2015-11-23,678.98999,755.97998,113.771706
2015-11-20,668.450012,756.599976,115.269348
2015-11-19,661.27002,738.409973,114.766914
2015-11-18,663.539978,740,113.327248
2015-11-17,643.299988,725.299988,109.848885
2015-11-16,647.809998,728.960022,110.322327
2015-11-13,642.349976,717,108.544479
2015-11-12,665.599976,731.22998,111.810295
2015-11-11,673.25,735.400024,112.187119
2015-11-10,659.679993,728.320007,112.824814
2015-11-09,655.48999,724.890015,116.496429
2015-11-06,659.369995,733.76001,116.969872
2015-11-05,655.650024,731.25,116.834602
2015-11-04,640.950012,728.109985,117.375694
2015-11-03,625.309998,722.159973,117.924095
2015-11-02,628.349976,721.109985,116.586769
2015-10-30,625.900024,710.809998,114.970459
2015-10-29,626.549988,716.919983,115.961411
2015-10-28,617.099976,712.950012,114.749161
2015-10-27,611.01001,708.48999,110.208076
2015-10-26,608.609985,712.780029,110.910416
2015-10-23,599.030029,702,114.566376
2015-10-22,563.909973,651.789978,111.122078
2015-10-21,555.77002,642.609985,109.448021
2015-10-20,560.880005,650.280029,109.457634
2015-10-19,573.150024,666.099976,107.494957
2015-10-16,570.76001,662.200012,106.831116
2015-10-15,562.440002,661.73999,107.620049
2015-10-14,544.830017,651.159973,106.032578
2015-10-13,548.900024,652.299988,107.552696
2015-10-12,550.190002,646.669983,107.369888
2015-10-09,539.799988,643.609985,107.870178
2015-10-08,533.159973,639.159973,105.349495
2015-10-07,541.940002,642.359985,106.580978
2015-10-06,537.47998,645.440002,107.090881
2015-10-05,543.679993,641.469971,106.580978
2015-10-02,532.539978,626.909973,106.196136
2015-10-01,520.719971,611.289978,105.42646
2015-09-30,511.890015,608.419983,106.119179
2015-09-29,496.070007,594.969971,104.926178
2015-09-28,504.059998,594.890015,108.178062
2015-09-25,524.25,611.969971,110.362015
2015-09-24,533.75,625.799988,110.641022
2015-09-23,536.070007,622.359985,109.986801
2015-09-22,538.400024,622.690002,109.101662
2015-09-21,548.390015,635.440002,110.843056
2015-09-18,540.26001,629.25,109.149773
2015-09-17,538.869995,642.900024,109.601952
2015-09-16,527.390015,635.97998,111.997581
2015-09-15,522.369995,635.140015,111.872498
2015-09-14,521.380005,623.23999,110.939262
2015-09-11,529.440002,625.77002,109.880959
2015-09-10,522.23999,621.349976,108.303116
2015-09-09,516.890015,612.719971,105.974854
2015-09-08,517.539978,614.659973,108.052979
2015-09-04,499,600.700012,105.128212
2015-09-03,504.720001,606.25,106.186516
2015-09-02,510.549988,614.340027,108.081833
2015-09-01,496.540009,597.789978,103.636963
2015-08-31,512.890015,618.25,108.485931
2015-08-28,518.01001,630.380005,108.995834
2015-08-27,518.369995,637.609985,108.639862
2015-08-26,500.769989,628.619995,105.532295
2015-08-25,466.369995,582.059998,99.807816
2015-08-24,463.369995,589.609985,99.211334
2015-08-21,494.470001,612.47998,101.751259
2015-08-20,515.780029,646.830017,108.380096
2015-08-19,532.919983,660.900024,110.650642
2015-08-18,535.02002,656.130005,112.084152
2015-08-17,535.219971,660.869995,112.719162
2015-08-14,531.52002,657.119995,111.564629
2015-08-13,529.659973,656.450012,110.785339
2015-08-12,525.909973,659.559998,110.871918
2015-08-11,527.460022,660.780029,109.188248
2015-08-10,524,633.72998,115.182114
2015-08-07,522.619995,635.299988,111.141319
2015-08-06,529.460022,642.679993,110.76609
2015-08-05,537.01001,643.780029,110.525574
2015-08-04,531.900024,629.25,109.797668
2015-08-03,535.030029,631.210022,113.437157
